unitid,scugrad2010,scugffn2010,scugffp2010,fgrnt_p2010,fgrnt_a2010,sgrnt_p2010,sgrnt_a2010,scugrad2011,scugffn2011,scugffp2011,fgrnt_p2011,fgrnt_a2011,sgrnt_p2011,sgrnt_a2011,scugrad2012,scugffn2012,scugffp2012,fgrnt_p2012,fgrnt_a2012,sgrnt_p2012,sgrnt_a2012,scugrad2013,scugffn2013,scugffp2013,fgrnt_p2013,fgrnt_a2013,sgrnt_p2013,sgrnt_a2013,scugrad2014,scugffn2014,scugffp2014,fgrnt_p2014,fgrnt_a2014,sgrnt_p2014,sgrnt_a2014,scugrad2015,scugffn2015,scugffp2015,fgrnt_p2015,fgrnt_a2015,sgrnt_p2015,sgrnt_a2015
100654,4940,1110,22,75,4843.8862,4,1557.25,4285,856,20,79,4898.5269,6,886.52728,4170,1023,25,81,4952.5449,1,1311.8462,4051,1066,26,80,4962.9614,1,1250,4210,1198,28,76,5118.5986,1,1550,4505,1473,33,74,4808.9482,1,1101.6364
100663,11028,1542,14,38,5430.4409,1,1027.7778,11128,1578,14,37,4957.7349,0,4397,11291,1654,15,36,4773.7583,0,9075,11542,1732,15,41,3897.27,0,3790,11679,1719,15,38,5144.0078,0,4327.3999,11511,1593,14,34,5317.8589,0,1273.2
100690,352,4,1,50,2737.5,0,0,343,8,2,88,4492.8569,13,300,329,10,3,90,2781.7778,40,150,322,3,1,100,1817.6666,0,0,279,9,3,78,4206,0,0,307,6,2,83,3870,33,461.5
100706,6005,600,10,34,6169.0698,1,1781.25,5935,652,11,32,4892.0483,2,2057.0769,5882,615,10,31,4693.4688,1,1900,5696,638,11,25,4917.7998,1,1625,5618,714,13,27,4397.4116,3,896.05554,6013,1027,17,25,4683.1421,1,836.53845
100724,4882,1090,22,83,5065.1367,14,4158.4268,4743,1102,23,88,4432.0298,17,3692.011,5130,1436,28,76,4962.1421,11,5648.811,5356,1520,28,71,4808.3223,7,7381.0679,4805,1068,22,81,4806.27,10,7041.5713,4764,1008,21,87,4515.2769,10,6943.1733
100751,24420,5489,22,21,4806.3613,4,569.91913,25657,5703,22,20,4358.6216,5,700.57294,28026,6338,23,20,5310.897,3,8876.667,29440,6428,22,18,4455.6929,1,682.92682,30752,6794,22,19,4525.8247,1,701.85187,31958,7176,22,18,4633.293,1,667.95062
100760,2447,594,24,69,5191.5171,6,577.25,2451,587,24,72,4388.7202,9,572.12964,2020,886,44,38,4449.4971,0,600,1906,480,25,67,4291.5703,5,1248.2084,1813,457,25,56,4205.5254,4,956.82355,1787,392,22,59,4505.3896,1,600
100812,3621,0,0,,,,,3388,0,0,,,,,3414,0,0,,,,,3175,0,0,,,,,3128,0,0,,,,,3041,0,0,,,,
100830,4829,758,16,54,4706.7471,19,785.28571,4403,709,16,52,3930.3452,3,670,4239,595,14,48,4280.563,5,681.3125,4334,589,14,51,4302.0796,3,811.76471,4377,638,15,54,4625.959,3,670,4257,657,15,48,4497.4253,2,754.25
100858,20221,4183,21,15,5830.3945,2,9255.1387,20446,4170,20,14,5016.3833,2,7970.5537,20175,3815,19,13,4431.7744,1,1242.5358,19799,3696,19,13,4608.5039,0,2179.7856,20629,4552,22,14,4585.5122,1,2310.6052,21786,4855,22,13,4668.0146,1,1453.3112
100937,1526,369,24,27,4936.0918,49,486.53888,1305,278,21,23,4324.9385,39,442.789,1231,327,27,21,4561.853,26,432.82559,1177,352,30,20,4719.7886,25,490.95456,1185,352,30,21,4919.644,52,487.07144,1345,441,33,21,4584.6558,36,827.57324
101028,1731,276,16,76,5450.2095,22,4102.5,1697,312,18,76,4474.5723,4,800,1730,364,21,70,4411.1567,3,410,1837,333,18,73,4649.123,3,510,1805,338,19,66,4739.7266,4,375,1665,312,19,67,4612.3926,2,450
101073,652,248,38,96,2431.7532,63,1564.809,719,151,21,100,2563.4304,80,1781.4546,611,156,26,100,2554.1475,83,1681.9615,600,147,25,100,2751.3401,88,1695,546,178,33,99,2859.8408,73,1866.0692,487,101,21,98,2562.4949,47,400.04254
101116,666,47,7,98,4615.3262,40,264.3158,681,56,8,84,4549.1489,32,197.22223,704,52,7,83,5182.4185,37,287.36841,599,27,5,78,5083.2383,30,332.5,523,31,6,97,5663.7998,77,560.20831,460,31,7,77,5440.875,3,100
101143,2919,520,18,61,4939.0986,30,4017.5845,2784,488,18,66,4449.2061,5,590.69232,2484,292,12,63,4365.6812,2,383.20001,2333,340,15,58,4316.7158,1,1644,2011,316,16,63,4547.4497,3,450,1882,293,16,67,4396.5078,2,4460
101161,4618,1035,22,61,4703.6455,4,2602.054,4415,906,21,63,4742.1167,6,1303.7,4399,968,22,61,4426.4521,3,1703.4482,4362,1078,25,59,4503.2036,4,847.33331,4478,964,22,60,4878.0991,5,1178.3077,4578,1076,24,57,4634.334,5,956.35089
101189,2803,211,8,70,1675.3446,60,259.38889,3005,310,10,81,2506.9365,62,659.81348,2763,322,12,57,4532.4834,64,481.99033,2617,287,11,50,4536.6528,54,560.65387,2670,381,14,54,4715.5049,94,464.59167,2564,279,11,80,3820.8108,67,504.27808
101240,7031,1523,22,70,5191.2144,7,1336.5923,6731,1380,21,70,5206.541,11,615.85236,5882,993,17,71,5188.1338,4,1436.8975,5797,1143,20,71,5308.1494,4,2286.0613,5289,1044,20,68,5295.665,6,2193.2258,5018,947,19,69,5286.856,6,2176.6843
101277,50,46,92,13,2633.3333,9,6370.5,91,52,57,79,3593.2927,0,0,147,83,56,87,4083.2361,0,0,152,70,46,59,3734.8293,0,0,167,90,54,66,4177.2544,0,0,132,77,58,58,4276.2891,0,0
101286,4874,953,20,68,5034.3467,4,326.10809,4949,972,20,69,5045.291,13,1660.2384,4582,837,18,64,5022.6255,6,3946.9019,4686,838,18,70,5150.6392,5,3062.3914,4854,858,18,67,5343.6553,6,3833.9614,4769,747,16,65,5316.2856,8,3585.5247
101295,6371,1091,17,65,4854.5049,5,3256.6399,5723,891,16,56,4325.813,11,1703.3959,5390,950,18,56,4683.0449,1,2935.0833,5281,997,19,61,4270.1099,2,4133.8237,5343,935,17,61,5012.9116,1,4545.4165,5420,875,16,61,4943.5981,2,4420.9443
101301,2116,415,20,91,5262.2886,10,1614.8049,2065,376,18,90,4607.938,17,1861.3693,1790,337,19,89,5310.1938,2,510.5,1745,371,21,86,5104.1826,5,754.15002,1668,384,23,89,5960.0264,1,1987.25,1596,263,16,86,6006.2993,0,0
101365,414,17,4,94,3868.9375,12,400,330,26,8,77,3615.8999,0,0,295,28,9,82,3854.6521,18,1264.6,318,25,8,84,3824.5239,0,0,302,27,9,89,3377.0417,7,400,360,24,7,58,3131.9285,0,0
101435,1107,272,25,41,4940.4956,64,483.06857,1123,256,23,45,4507.9121,66,344.34525,1118,276,25,48,4251.4546,53,383.5137,1110,261,24,39,4643.0581,56,470.59589,1160,227,20,41,4731.3042,56,512.69843,1166,252,22,48,4638.4673,58,792.36554
101453,60,3,5,67,5550,0,0,61,5,8,40,5550,0,0,62,2,3,50,2901,0,0,69,7,10,86,3887.3333,0,0,62,2,3,100,5087,0,0,58,6,10,50,5110,0,0
101462,1275,228,18,90,5294.4976,12,3478.7407,1223,166,14,91,5298.4834,8,3442.4285,1248,123,10,89,4287.9907,2,1108.6666,1383,142,10,86,4319.959,8,560,1062,145,14,86,4631.0962,2,302,996,152,15,91,5144.1665,5,853.71429
101471,551,297,54,0,0,100,2872.697,496,267,54,0,0,100,3529.3557,437,190,43,0,0,100,2910,513,246,48,0,0,100,4608,473,272,58,0,0,100,4752,422,198,47,0,0,100,4824
101480,8100,1246,15,48,4834.749,15,1468.963,8199,1384,17,48,4542.8872,18,1525.6898,7991,1302,16,48,4487.8408,21,1506.3895,7588,1142,15,45,4394.7598,22,1655.8087,7647,1169,15,44,4505.769,23,1735.4197,7383,1021,14,44,4687.0688,25,1696.3976
101499,1314,264,20,55,5156.8354,3,697,1251,274,22,50,5134.4116,4,709.79999,1094,274,25,49,4471.4224,3,525,1091,246,23,58,4494.7534,3,620.42859,1086,258,24,48,4574.0083,2,480.20001,1098,313,29,42,5349.2422,1,3431.25
101505,9658,1306,14,54,4708.0688,7,1152.2783,9460,1271,13,59,4200.7319,5,1636.7424,8878,1062,12,58,4374.0986,6,1405.123,8542,1053,12,53,4447.7363,14,829.92566,8516,1096,13,53,3946.7268,11,1017.3965,8821,1063,12,48,4070.3457,7,1440.5068
101514,12134,1436,12,53,4663.7612,2,3358.0356,12081,1311,11,59,4502.8086,5,1668.7794,11177,1370,12,55,5104.4521,2,3198.8,11186,1225,11,52,5020.4297,1,3937.4707,10802,1260,12,53,5052.6196,3,3404.7058,9985,1189,12,52,5008.3613,3,4055.625
101541,322,93,29,53,5407.4082,77,481.01389,353,75,21,65,4633.6733,81,308.19672,353,77,22,82,3742.0793,84,479.8923,347,66,19,58,3192.0264,83,946.76361,378,82,22,68,3786.6785,80,594.40912,374,63,17,62,3589.282,84,700.98114
101569,4863,1044,21,90,4763.6904,4,1772.0889,4205,894,21,87,4799.0938,8,1772.0946,3419,617,18,83,4504.6431,7,1833.1464,3028,585,19,86,4403.166,6,1494.1052,3090,649,21,88,4585.3809,6,2359.5527,3172,620,20,84,4487.9541,7,2471.093
101587,1942,283,15,73,3913.1587,2,630.28571,2112,339,16,76,3329.1433,4,592.30768,2095,364,17,74,3669.0149,2,688,1999,380,19,63,4204.4043,3,529.83331,1922,350,18,47,4771.7695,3,627.27271,1915,420,22,63,4132.4258,5,536.8421
101602,1928,433,22,78,5297.2803,4,300.88235,1779,377,21,74,5245.5356,4,701.13336,1646,349,21,76,4465.25,4,1353.3334,1570,410,26,75,4539.7583,5,1612.1818,1599,447,28,74,4616.3452,7,1975.303,1732,445,26,71,4498.6318,7,2756.5151
101648,454,231,51,52,5802.6333,2,2126.3999,409,271,66,46,4314.5322,0,1456,382,244,64,45,4869.6846,2,5713,418,249,60,33,4632.8916,3,4413.125,439,278,63,38,4457.6885,5,3811.4614,457,275,60,32,4741.1934,5,5237.9287
101675,1671,343,21,90,5177.4629,26,775.08887,1635,386,24,88,4625.8735,29,665.70795,1692,442,26,88,4785.7085,10,674.15558,1667,404,24,90,4853.313,22,545.24445,1782,486,27,90,5051.9658,31,547.39734,1873,423,23,89,5046.9014,13,755.57141
101693,1480,233,16,39,4910.4287,52,471.24591,1544,245,16,39,4377.5894,49,314.33334,1552,227,15,34,4532.5972,44,427.39999,1481,258,17,34,4803.9214,50,509.78125,1466,274,19,46,4724.9761,43,476.57144,1442,285,20,42,4410.7168,45,793.2713
101709,2512,425,17,35,5405.7998,2,1257.1428,2542,497,20,39,4696.6392,2,1200,2597,539,21,38,4441.3545,1,1084,2618,519,20,38,4764.4053,1,1100,2664,530,20,38,4798.064,1,1050,2564,501,20,42,4947.7773,2,500
101736,4489,834,19,77,5473.6768,28,878.20087,3939,756,19,74,4960.2153,1,2990,3717,722,19,73,4265.0269,1,2102.75,3854,668,17,71,4331.2715,1,1932,3923,685,17,67,5112.7295,1,1895.6666,3700,606,16,61,5134.1294,2,1037.9091
101879,6161,961,16,59,4132.439,4,351.25,6185,916,15,61,4080.2188,4,351.58975,6098,1057,17,54,3981.2429,2,455.36365,5993,953,16,43,4443.7354,1,254.54546,5885,931,16,42,4339.9976,1,297.5,6092,1159,19,45,4395.3623,1,242.30769
101897,3435,671,20,77,5132.4346,4,586.61536,3294,641,19,73,5025.7173,3,982.14288,3140,604,19,75,4283.603,3,648,2834,538,19,75,4346.666,2,697,2708,534,20,75,4400.6602,2,938.40002,2700,477,18,66,4681.1016,1,1096.1666
101912,1867,455,24,61,3523.1187,12,2256.0535,1953,386,20,57,3860.0823,4,132.35294,1966,408,21,53,4789.0835,1,180,1865,367,20,46,4786.8589,18,851.26868,1877,373,20,50,4859.7134,10,881.23077,1722,337,20,55,4933.6108,20,696.92535
101949,1503,432,29,76,5192.1436,3,397.60001,1432,424,30,72,5071.2104,5,396.85715,1312,363,28,64,4485.1255,4,933.375,1349,425,32,62,4503.9434,4,858.42108,1398,436,31,67,4469.8804,7,899.65625,1387,384,28,61,5353.0469,9,3110.2
101958,86,2,2,50,1850,0,0,111,1,1,100,5550,0,0,121,9,7,67,5525,0,0,112,6,5,100,5331.5,0,0,84,0,0,,,,,25,0,0,,,,
101994,743,105,14,86,4389.5112,14,2275.6667,698,112,16,80,3879.6777,4,2523.5,495,84,17,73,3490.8032,1,550,517,68,13,65,4007.5454,22,3135.8667,549,83,15,71,3467.8306,11,2629.5557,571,67,12,66,3596.8408,1,2128
102030,3726,556,15,85,5199.96,9,1442.9231,3982,727,18,89,4289.6055,12,1587.3219,3791,740,20,88,4226.7505,6,1579.766,3896,835,21,85,4420.4458,5,2165.5952,3320,684,21,87,4322.0962,8,1968.0358,3111,624,20,78,4385.2671,8,2096.585
102049,2938,712,24,17,5525.6943,30,425.13824,2950,684,23,13,4958.2065,30,394.33496,2965,701,24,14,4823.3979,23,539.65411,3013,755,25,14,4756.7402,28,451.2381,3051,728,24,17,5043.4399,22,439.55902,3168,826,26,11,4828.4253,27,740.84998
102058,441,236,54,93,2772.7273,0,0,507,225,44,89,2775,0,0,560,185,33,92,2611.7646,22,1000,582,199,34,93,2865,5,1000,539,140,26,85,2885,7,1000,314,58,18,97,5140.5713,16,288
102067,6095,923,15,64,4564.1318,7,1075.0289,5313,664,12,68,4121.1816,7,1210.1086,5104,855,17,62,4358.9849,4,1192.0333,5068,877,17,55,4478.7739,3,636.53845,4989,718,14,58,4547.437,3,521.90912,4834,707,15,57,4546.9375,2,402
102076,2483,597,24,62,4822.1855,6,552.63159,2417,592,24,63,4260.4268,2,720.61536,2436,651,27,64,4252.7661,1,1746,2295,656,29,66,4231.4229,1,2911.3333,2258,707,31,69,4485.9795,1,4691.5,2456,589,24,68,4501.4624,1,5695.25
102094,11658,1707,15,48,5013.2832,8,614.02173,11578,1879,16,50,4851.1362,11,919.41498,11315,1888,17,45,5280.8296,5,1111.4886,11307,1834,16,46,5361.8232,5,1883.6666,11479,2033,18,45,5357.8096,3,1684.0564,11524,2084,18,45,5479.541,3,1371.8873
102234,1383,397,29,44,5663.8613,42,398.79517,1257,335,27,38,5198.8096,39,401.71756,1202,295,25,34,4655.0898,27,377.46835,1292,431,33,35,4966.4468,36,661.29224,1237,362,29,34,4784.5039,30,423.16513,1352,416,31,31,4814.4844,37,553.22583
102261,195,11,6,82,4915.4443,0,0,175,14,8,43,5333.3335,0,0,179,15,8,73,3954.5454,0,0,161,16,10,56,4371.8887,0,0,173,11,6,82,5183.1113,0,0,151,9,6,67,4241.6665,0,0
102270,1056,297,28,82,4833.877,42,569.03998,1072,287,27,72,5660.1636,43,345.65854,1019,270,26,74,5526.5571,34,388.26086,863,163,19,64,4634.105,52,232.09525,1056,321,30,75,5359.0127,44,253.7234,895,244,27,88,5400.3599,55,387
102298,706,211,30,77,4402.8271,64,1875.5037,780,295,38,77,4122.0176,7,3434.95,861,425,49,98,4901.5986,12,3294.52,863,265,31,80,6050.4224,46,2620.0569,879,282,32,82,5677.1304,1,2458,989,320,32,80,5806.1479,1,2460
102313,1758,278,16,77,5432.1812,3,589.77777,1721,298,17,79,4545.7905,4,1064.1666,1445,241,17,76,3365.8098,7,505.1875,1351,201,15,69,3365.4316,6,573.58331,1338,229,17,66,3852.3577,0,750,1401,248,18,71,4399.5342,1,388.66666
102368,22247,1810,8,55,5112.0537,3,2000,20590,1663,8,54,4902.6436,2,2001.5313,17912,1444,8,48,4950.7437,1,2222.2222,16316,1613,10,43,4854.6426,0,2070,15114,1502,10,43,5124.0356,0,0,14190,1699,12,39,5114.2632,0,978
102377,2480,701,28,88,5409.7861,16,4905.3569,2684,816,30,65,5545.9492,6,4364.0195,2605,653,25,54,3061.3635,0,0,2584,645,25,60,2473,0,0,2588,634,24,77,2698.4695,8,1396.5,2486,595,24,89,3897.0588,7,1284.0909
102395,128,0,0,,,,,131,0,0,,,,,117,0,0,,,,,95,0,0,,,,,99,0,0,,,,,129,0,0,,,,
102429,4704,1006,21,74,5864.5054,18,3069.5081,4069,808,20,72,5110.2236,14,2513.7932,3734,747,20,76,3893.8367,7,1481.3529,3490,753,22,66,4464.2168,5,1902.1578,3609,760,21,69,4566.2085,5,1526.2433,3619,600,17,69,4405.3384,8,1974.0667
102553,17081,1580,9,32,4520.5581,2,1461.5385,17224,1604,9,37,4297.8223,32,2985.8503,16505,1457,9,32,4147.6729,47,3231.2522,16745,1416,8,35,4188.6143,44,3567.0615,16291,1388,9,34,4245.1436,50,3479.0874,15917,1339,8,30,4225.1479,50,3654.5405
102580,82,9,11,11,2750,22,3750,50,11,22,55,5033.3335,55,3759.6667,55,12,22,42,4000,8,3566,42,9,21,44,4747.25,33,1981.6666,49,14,29,36,4840,21,3566.6667,33,5,15,20,6600,0,0
102614,8652,854,10,31,4294.2119,3,1646.7391,8622,845,10,32,4070.8352,40,3263.0708,8039,761,9,27,3936.9663,52,4262.8276,7989,775,10,30,4141.1138,55,4216.4189,7484,739,10,27,4134.3809,59,4201.0024,7533,697,9,27,4215.0864,56,4134.8999
102632,3073,208,7,33,3581.4058,2,1275,3026,191,6,34,3728.2188,25,2911.7917,2732,194,7,34,4495.9844,43,3618.2891,2645,159,6,36,4253.3965,42,3750.0447,2681,154,6,38,4304.1895,39,3076.3667,2475,145,6,35,4030.2156,48,4188.2031
102669,519,45,9,36,2746.875,2,1000,474,16,3,19,1625,0,0,412,26,6,42,2297.8181,15,1932,387,30,8,33,5419.6001,0,0,326,18,6,56,3752,17,2252,282,38,13,50,4814.5791,16,3413.6667
102711,1182,298,25,39,3743.8086,26,2896.8157,1260,332,26,19,3230.3225,17,3095.7817,774,496,64,13,3706.4126,5,2938.4348,1356,445,33,16,4213.2319,11,3295.9792,1667,394,24,18,4175.9297,13,2411.1799,1973,293,15,21,4554.0981,4,541.66669
102845,1764,622,35,87,5588.9707,0,0,2325,631,27,81,4557.2021,3,972.22223,1705,409,24,68,3309.0322,4,640.625,2191,1053,48,79,4187.2305,0,667,3136,480,15,95,4828.4365,9,1532.2559,2990,922,31,72,4071.1992,3,2004.1333
103361,546,26,5,46,3689.1667,12,1750,747,17,2,18,4008.3333,24,1673.75,521,10,2,40,5090.75,30,3107.3333,,,,,,,,,,,,,,,,,,,,,
103501,482,424,88,67,4146.6704,4,5223.25,461,351,76,71,4511.0483,3,5610.4165,508,325,64,65,4859.1138,7,6581.0435,486,342,70,67,5563.3975,6,6484.6313,581,329,57,73,5551.7886,5,5275,648,404,62,75,5372.854,5,4995
103644,5662,82,1,91,5073.7734,0,0,2254,78,3,85,4645.5151,1,564,1578,125,8,95,5124.2939,0,0,2762,96,3,82,5252.0381,0,0,,,,,,,,,,,,,,
103723,1150,167,15,79,5041.2651,0,0,892,68,8,74,6525.8599,0,0,590,59,10,75,5621.7729,0,0,254,0,0,,,,,83,0,0,,,,,,,,,,,
103732,157,35,22,80,4945.8569,0,0,144,31,22,65,3945,0,0,97,16,16,69,4613.4546,0,0,63,15,24,60,5183.8887,0,0,,,,,,,,,,,,,,
103741,295,66,22,95,5288.5713,0,0,280,70,25,87,5040.7539,0,0,306,93,30,78,4098.8628,0,0,260,64,25,83,4882.396,0,0,223,51,23,92,4571.064,2,1000,174,30,17,97,5094.4829,0,0
103778,2,0,0,,,,,2,0,0,,,,,3,0,0,,,,,2,0,0,,,,,,,,,,,,,,,,,,
103787,96,21,22,90,3988.7368,14,3629.3333,86,12,14,92,2554.5454,17,2000,73,8,11,100,4694,38,3794,80,14,18,79,4781.8184,0,0,89,24,27,88,2826.2856,29,3349,,,,,,,
103811,1673,1449,87,70,3910.9763,0,2562.25,1621,1621,100,57,3606.3098,2,4063.4324,1644,1562,95,50,3475.9526,4,4222.3159,1036,268,26,60,3410.0063,7,4261.1113,1103,427,39,56,3333.0168,9,4551.8423,1222,396,32,43,3604.7336,8,4344.2422
103893,1611,899,56,78,4420.6587,0,0,1100,501,46,82,3987.437,4,5684.8887,1031,447,43,88,3492.0508,4,8021.4502,1117,348,31,84,3507.2397,2,9615.7139,1156,434,38,83,3896.0525,3,8249.2861,1202,380,32,88,3668.6011,2,8998.8574
103909,1671,962,58,70,4302.7427,0,0,1287,478,37,77,3641.7329,9,5763.3413,1176,301,26,85,3602.2744,4,10554.23,1199,283,24,82,3644.251,6,8447,1154,260,23,76,3917.396,9,7718.7085,1060,229,22,74,3891.5681,10,8828.7275
103927,1264,664,53,84,4454.6519,0,0,857,299,35,88,3716.3169,2,4039.2856,730,319,44,81,3492.603,1,7927.5,756,233,31,78,3621.9448,1,3631,684,233,34,77,3909.2556,2,4918.7998,580,196,34,80,4183.3633,4,5030.1431
103945,327,318,97,82,5252.6309,0,0,284,128,45,91,5370.3447,0,0,255,109,43,94,5122.2817,1,1043,213,73,34,85,3967.6292,0,0,176,21,12,95,4680,0,0,137,13,9,85,2894.2727,0,0
103954,117,0,0,,,,,94,20,21,90,3644.4443,0,0,80,11,14,100,3570.3635,0,0,58,5,9,60,4235.3335,0,0,59,5,8,100,4171,0,0,85,6,7,67,4473,0,0
103963,2769,1473,53,87,3974.4731,1,1139.2222,2002,1149,57,84,4816.6514,0,956,1045,817,78,87,2593.6592,0,0,1009,853,85,79,3441.5537,6,6635.9185,1188,985,83,83,4793.6851,6,6923.2588,1294,1203,93,80,4578.0977,4,7536.9443
104090,3032,1971,65,89,3772.7246,1,5180.8569,2442,1463,60,83,5148.3594,2,9453.6895,1861,993,53,75,4081.0508,1,8160.3569,2064,1342,65,78,3596.136,1,4882.2632,2132,1178,55,77,3698.5049,3,6739.2256,1860,1202,65,65,3539.8779,1,6540.647
104151,56562,7544,13,35,4710.8809,1,1736.3541,58404,9082,16,37,4277.3872,1,1286.3699,39066,6450,17,30,4606.3281,1,1129.3422,38735,7114,18,27,4589.5503,1,1466.6154,39961,7594,19,28,4707.9204,1,1567.5,41828,8278,20,26,4940.9839,1,1854.826
104160,8545,939,11,75,4772.502,3,777.88464,8418,904,11,78,5083.0327,2,840.72223,7877,917,12,80,5000.7881,2,533.33331,8000,844,11,80,5176.2363,2,508.92856,7702,782,10,83,5291.0781,1,944.44446,7514,836,11,78,5215.4775,0,583.33331
104179,30592,6804,22,33,4922.0254,4,3768.3765,30665,6867,22,32,4319.9902,5,4103.3047,31565,6955,22,30,4360.269,0,2286.8,31670,6272,20,31,4418.8467,0,1517.1666,32585,6974,21,28,4428.1035,1,1257.9615,33331,6973,21,26,4424.6216,4,6116.7061
104188,261,19,7,74,3053.5715,11,1000,256,15,6,80,3096.8333,13,1000,211,126,60,51,2459.125,6,1762,226,31,14,61,2370.7896,0,0,177,22,12,73,2612.5,95,1717.619,137,40,29,73,2684.9312,5,4292
104294,373,208,56,40,3898.1204,2,13781.4,284,93,33,53,3714.8774,2,3048,297,73,25,45,3225.9697,0,0,,,,,,,,,,,,,,,,,,,,,
104346,7117,514,7,59,4087.8223,0,0,7442,604,8,63,4177.0894,0,433.33334,7018,590,8,63,4122.0322,1,491.42856,6445,544,8,57,4182.1284,0,0,5937,536,9,61,4375.8081,2,444.44446,5849,529,9,57,4396.9009,2,444.44446
104364,785,125,16,94,4536.2051,2,10373,696,83,12,88,4399.1372,7,8036.3335,784,121,15,83,4533.4302,1,15812,684,80,12,89,4903.2256,4,333.33334,611,95,16,89,5236.7529,14,3568.3845,450,43,10,95,5377.6343,19,86.5
104391,122,106,87,94,3812.4099,0,0,143,123,86,73,3973.2,0,0,151,148,98,63,3548.1829,0,0,131,129,98,75,4007.3093,0,0,97,96,99,65,3766.9194,0,0,106,101,95,55,4162.3569,0,0
104425,5585,482,9,65,4582.1865,6,877.03448,4912,447,9,68,4422.5361,6,374,4516,418,9,63,4341.2017,4,882.35297,4453,494,11,63,4419.4194,2,468.75,4379,553,13,65,4636.0054,7,346.25,4437,541,12,64,4760.8647,6,464.3125
104434,76,27,36,56,5540.6665,0,0,87,34,39,85,4969.5864,0,0,95,38,40,87,4910.606,0,0,84,35,42,77,4851.7036,0,0,81,31,38,87,5083.1479,0,0,61,15,25,73,4921.7271,0,0
104443,291,82,28,77,4808.2539,0,0,255,39,15,79,4378.645,0,0,194,32,16,84,4246.2964,0,0,175,43,25,88,4805.4473,0,0,145,29,20,69,4805,10,1000,104,18,17,100,5268.8335,6,12500
104504,318,89,28,69,4349.4756,6,3800,245,61,25,46,4643.6069,0,0,228,55,24,40,4756.4546,0,0,221,51,23,47,3898.3333,0,0,226,48,21,38,3805,0,0,213,39,18,28,3797.8181,0,0
104531,2012,255,13,80,4762.7832,0,1000,1762,141,8,74,3282.4905,1,462.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104568,374,143,38,64,3660.761,0,0,468,183,39,59,4072.074,0,0,492,195,40,70,3488.5369,0,0,505,261,52,59,3715.3096,0,0,537,149,28,61,3691.3516,0,0,558,243,44,34,3132,0,0
104577,6799,842,12,40,4397.645,12,4465.5049,6997,828,12,40,4092.5195,1,1343.8334,6435,645,10,31,4334.9849,32,1718.1796,6602,502,8,40,4553.9653,6,824.13794,6379,468,7,28,4594.8242,3,943.75,6320,417,7,37,4411.8311,4,752.94116
104586,1647,352,21,29,4668.8315,1,1046.6666,1672,349,21,26,3877.2307,0,370,1678,374,22,20,4043.5811,0,0,1879,443,24,26,4281.3706,0,0,1984,503,25,22,4157.835,1,437.5,2205,579,26,24,4445.5684,1,1322.75
104665,8,0,0,,,,,4,0,0,,,,,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
104708,21373,2235,10,52,4597.875,0,875,21376,2424,11,56,4180.8345,1,686.66669,21361,2227,10,57,4218.1104,0,570,20872,2057,10,57,4220.3892,1,621.5,20506,1981,10,53,4541.8916,1,857.14288,19871,1801,9,51,4463.9287,0,928.57141
104717,21657,704,3,48,5132.562,0,2421.5,24886,617,2,48,5080.0273,0,2500,31158,1264,4,52,5064.3599,1,1792.8572,35205,1554,4,48,4764.6875,1,935.875,39400,2039,5,45,4643.8232,0,876.25,43295,2467,6,42,4666.4697,1,894.73682
104805,3411,1100,32,85,5589.1836,0,3000,2649,894,34,65,4344.9795,0,3000,1856,443,24,88,4349.834,0,3000,,,,,,,,,,,,,,,,,,,,,
104911,449,262,58,77,4047.9014,0,0,435,254,58,77,4141.5898,0,0,401,240,60,78,4163.8936,0,0,373,212,57,81,3874.8953,0,0,323,181,56,70,3999.3938,0,0,176,72,41,64,4351.2393,0,0
104984,487,155,32,85,4399.8628,0,0,186,30,16,67,5197.25,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105118,836,262,31,70,4608.1313,0,18070,723,222,31,71,4313.5479,3,101.28571,431,77,18,88,4814.6177,1,6000,,,,,,,,,,,,,,,,,,,,,
105127,212,70,33,76,5179.4907,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105145,7346,240,3,64,4401.7061,3,392.85715,6801,246,4,70,4269.4824,2,458.33334,6720,309,5,72,4321.6606,4,375,6440,334,5,69,4421.7993,3,545.22223,5950,302,5,66,4649.7134,12,494.97144,5637,293,5,56,4636.7256,0,500
105154,26408,2417,9,49,4466.3145,2,960.52631,25695,2331,9,53,4188.6372,0,545.45453,25024,2124,8,51,4086.2197,1,691.66669,23678,1942,8,49,4310.1421,1,555.55554,22711,1836,8,49,4474.0132,1,714.28571,21491,1587,7,47,4409.272,1,961.53845
105163,521,45,9,76,4495.0293,0,0,517,23,4,78,5088.3335,0,0,460,42,9,74,4236.7417,5,264.5,409,44,11,80,3745,0,0,400,50,13,82,4080.8049,0,0,,,,,,,
105172,829,97,12,76,4809.6758,0,0,721,38,5,68,3666.7307,0,0,575,43,7,70,4159.0669,2,139,498,73,15,82,4396.3335,0,0,445,57,13,74,4027.0952,0,0,,,,,,,
