unitid,scugrad2010,scugffn2010,scugffp2010,fgrnt_p2010,fgrnt_a2010,sgrnt_p2010,sgrnt_a2010,scugrad2011,scugffn2011,scugffp2011,fgrnt_p2011,fgrnt_a2011,sgrnt_p2011,sgrnt_a2011,scugrad2012,scugffn2012,scugffp2012,fgrnt_p2012,fgrnt_a2012,sgrnt_p2012,sgrnt_a2012,scugrad2013,scugffn2013,scugffp2013,fgrnt_p2013,fgrnt_a2013,sgrnt_p2013,sgrnt_a2013,scugrad2014,scugffn2014,scugffp2014,fgrnt_p2014,fgrnt_a2014,sgrnt_p2014,sgrnt_a2014,scugrad2015,scugffn2015,scugffp2015,fgrnt_p2015,fgrnt_a2015,sgrnt_p2015,sgrnt_a2015
227836,1460,710,49,82,4694.6665,1,5013,1287,598,46,87,4664.6001,1,2952.4285,1086,542,50,49,3503.9585,1,7100.5,888,485,55,82,4466.9424,7,1411.7646,852,439,52,83,4211.0522,4,2144.2942,937,771,82,79,5058.5781,1,5571.4287
227845,4476,771,17,36,5612.1523,44,4464.4014,4425,780,18,40,4764.0894,38,4288.3062,4238,777,18,35,5251.5562,39,4349.9004,4089,791,19,39,5004.8706,47,3988.1685,4003,810,20,42,4683.1274,45,3937.1956,4023,873,22,35,4978.2539,43,4043.6985
227854,10828,1177,11,73,4244.1309,23,1390.6556,10710,646,6,74,4633.9375,22,1666.5248,10313,470,5,65,4478.3179,29,1676.9854,10238,481,5,66,4527.4951,51,1752.9633,10514,426,4,65,4782.5215,34,2236.5034,11198,353,3,65,4615.2007,22,1871.8552
227863,1573,191,12,32,5988.5483,39,4758.3516,1554,234,15,39,4728.791,19,3541.0667,1573,265,17,38,5003.1187,38,4052.0981,1572,233,15,39,4988.2334,49,4026.8684,1608,223,14,38,5255.5884,46,4042.5981,1768,237,13,35,5405.0356,49,4082.812
227881,14689,2211,15,42,5236.0215,51,5857.7476,14921,2003,13,44,4425.2744,47,4178.8203,15611,2344,15,46,4383.0601,54,4088.3198,16255,2375,15,48,4748.6025,52,5062.3237,16819,2368,14,51,4620.7983,66,4731.3979,17401,2514,14,48,4698.8672,59,5085.4395
227924,25269,1565,6,56,4647.8232,17,1583.4811,25567,1771,7,56,4611.2373,12,1232.5122,23134,1523,7,54,4492.8262,18,1648.2363,23004,1415,6,54,4483.9448,22,1687.5994,21280,1049,5,55,4722.1304,24,2123.5627,20638,621,3,50,4536.9424,16,2160.9802
227979,28549,3180,11,43,5043.4897,19,1434.8325,29392,3010,10,50,4849.7612,19,1257.7792,28721,3023,11,44,4831.5601,21,1284.8009,28385,2672,9,44,4901.543,22,1219.7483,27911,2414,9,42,4794.6992,19,1894.2125,28326,2040,7,36,4773.5205,13,1833.8958
228042,1043,253,24,42,4980.6982,42,4179.6318,1024,275,27,45,4580.0479,24,4113.5522,1068,272,25,44,4157.5786,15,4054.3999,1065,299,28,40,4559.0415,53,3945.2705,1062,273,26,41,4569.7788,49,3785.3777,1182,289,24,39,4471.6069,48,3793.2087
228088,90,49,54,84,4069.7561,0,0,74,36,49,92,4627.7271,0,0,76,33,43,94,5191.9355,0,0,56,26,46,92,5500,0,0,47,18,38,83,4768,0,0,43,14,33,79,5597.7271,0,0
228149,2437,584,24,55,6276.2749,60,4714.6343,2508,641,26,58,4739.3921,62,4200.6133,2459,584,24,54,5167.3271,61,3514.8113,2393,596,25,59,6552.6743,60,3823.7642,2322,469,20,52,6120.897,59,3533.8381,2305,589,26,48,5886.3579,58,4206.25
